"Survived" "Pclass" "Sex" "Age" "Fare" "Embarked" "FamilyNum" "AgeBin"
"589" 0 "3" "male" 22 8.05 "S" 0 "middle"
"591" 0 "3" "male" 35 7.12 "S" 0 "middle"
"592" 1 "1" "female" 52 78.27 "C" 1 "Late"
"593" 0 "3" "male" 47 7.25 "S" 0 "Late"
"595" 0 "2" "male" 37 26 "S" 1 "middle"
"596" 0 "3" "male" 36 24.15 "S" 2 "middle"
"598" 0 "3" "male" 49 0 "S" 0 "Late"
"600" 1 "1" "male" 49 56.93 "C" 1 "Late"
"601" 1 "2" "female" 24 27 "S" 3 "middle"
"604" 0 "3" "male" 44 8.05 "S" 0 "middle"
"605" 1 "1" "male" 35 26.55 "C" 0 "middle"
"606" 0 "3" "male" 36 15.55 "S" 1 "middle"
"607" 0 "3" "male" 30 7.9 "S" 0 "middle"
"608" 1 "1" "male" 27 30.5 "S" 0 "middle"
"609" 1 "2" "female" 22 41.58 "C" 3 "middle"
"610" 1 "1" "female" 40 153.46 "S" 0 "middle"
"611" 0 "3" "female" 39 31.27 "S" 6 "middle"
"615" 0 "3" "male" 35 8.05 "S" 0 "middle"
"616" 1 "2" "female" 24 65 "S" 3 "middle"
"617" 0 "3" "male" 34 14.4 "S" 2 "middle"
"618" 0 "3" "female" 26 16.1 "S" 1 "middle"
"619" 1 "2" "female" 4 39 "S" 3 "Child"
"620" 0 "2" "male" 26 10.5 "S" 0 "middle"
"621" 0 "3" "male" 27 14.45 "C" 1 "middle"
"622" 1 "1" "male" 42 52.55 "S" 1 "middle"
"623" 1 "3" "male" 20 15.74 "C" 2 "middle"
"624" 0 "3" "male" 21 7.85 "S" 0 "middle"
"625" 0 "3" "male" 21 16.1 "S" 0 "middle"
"626" 0 "1" "male" 61 32.32 "S" 0 "Late"
"627" 0 "2" "male" 57 12.35 "Q" 0 "Late"
"628" 1 "1" "female" 21 77.96 "S" 0 "middle"
"629" 0 "3" "male" 26 7.9 "S" 0 "middle"
"631" 1 "1" "male" 80 30 "S" 0 "Late"
"632" 0 "3" "male" 51 7.05 "S" 0 "Late"
"633" 1 "1" "male" 32 30.5 "C" 0 "middle"
"635" 0 "3" "female" 9 27.9 "S" 5 "Child"
"636" 1 "2" "female" 28 13 "S" 0 "middle"
"637" 0 "3" "male" 32 7.92 "S" 0 "middle"
"638" 0 "2" "male" 31 26.25 "S" 2 "middle"
"639" 0 "3" "female" 41 39.69 "S" 5 "middle"
"641" 0 "3" "male" 20 7.85 "S" 0 "middle"
"642" 1 "1" "female" 24 69.3 "C" 0 "middle"
"643" 0 "3" "female" 2 27.9 "S" 5 "Child"
"645" 1 "3" "female" 0.75 19.26 "C" 3 "Child"
"646" 1 "1" "male" 48 76.73 "C" 1 "Late"
"647" 0 "3" "male" 19 7.9 "S" 0 "Teen"
"648" 1 "1" "male" 56 35.5 "C" 0 "Late"
"650" 1 "3" "female" 23 7.55 "S" 0 "middle"
"652" 1 "2" "female" 18 23 "S" 1 "Teen"
"653" 0 "3" "male" 21 8.43 "S" 0 "middle"
"655" 0 "3" "female" 18 6.75 "Q" 0 "Teen"
"656" 0 "2" "male" 24 73.5 "S" 2 "middle"
"658" 0 "3" "female" 32 15.5 "Q" 2 "middle"
"659" 0 "2" "male" 23 13 "S" 0 "middle"
"660" 0 "1" "male" 58 113.28 "C" 2 "Late"
"661" 1 "1" "male" 50 133.65 "S" 2 "Late"
"662" 0 "3" "male" 40 7.22 "C" 0 "middle"
"663" 0 "1" "male" 47 25.59 "S" 0 "Late"
"664" 0 "3" "male" 36 7.5 "S" 0 "middle"
"665" 1 "3" "male" 20 7.92 "S" 1 "middle"
"666" 0 "2" "male" 32 73.5 "S" 2 "middle"
"667" 0 "2" "male" 25 13 "S" 0 "middle"
"669" 0 "3" "male" 43 8.05 "S" 0 "middle"
"671" 1 "2" "female" 40 39 "S" 2 "middle"
"672" 0 "1" "male" 31 52 "S" 1 "middle"
"673" 0 "2" "male" 70 10.5 "S" 0 "Late"
"674" 1 "2" "male" 31 13 "S" 0 "middle"
"676" 0 "3" "male" 18 7.78 "S" 0 "Teen"
"677" 0 "3" "male" 24.5 8.05 "S" 0 "middle"
"678" 1 "3" "female" 18 9.84 "S" 0 "Teen"
"679" 0 "3" "female" 43 46.9 "S" 7 "middle"
"680" 1 "1" "male" 36 512.33 "C" 1 "middle"
"682" 1 "1" "male" 27 76.73 "C" 0 "middle"
"683" 0 "3" "male" 20 9.22 "S" 0 "middle"
"684" 0 "3" "male" 14 46.9 "S" 7 "Teen"
"685" 0 "2" "male" 60 39 "S" 2 "Late"
"686" 0 "2" "male" 25 41.58 "C" 3 "middle"
"687" 0 "3" "male" 14 39.69 "S" 5 "Teen"
"688" 0 "3" "male" 19 10.17 "S" 0 "Teen"
"689" 0 "3" "male" 18 7.8 "S" 0 "Teen"
"690" 1 "1" "female" 15 211.34 "S" 1 "Teen"
"691" 1 "1" "male" 31 57 "S" 1 "middle"
"692" 1 "3" "female" 4 13.42 "C" 1 "Child"
"694" 0 "3" "male" 25 7.22 "C" 0 "middle"
"695" 0 "1" "male" 60 26.55 "S" 0 "Late"
"696" 0 "2" "male" 52 13.5 "S" 0 "Late"
"697" 0 "3" "male" 44 8.05 "S" 0 "middle"
"699" 0 "1" "male" 49 110.88 "C" 2 "Late"
"700" 0 "3" "male" 42 7.65 "S" 0 "middle"
"701" 1 "1" "female" 18 227.52 "C" 1 "Teen"
"702" 1 "1" "male" 35 26.29 "S" 0 "middle"
"703" 0 "3" "female" 18 14.45 "C" 1 "Teen"
"704" 0 "3" "male" 25 7.74 "Q" 0 "middle"
"705" 0 "3" "male" 26 7.85 "S" 1 "middle"
"706" 0 "2" "male" 39 26 "S" 0 "middle"
"707" 1 "2" "female" 45 13.5 "S" 0 "middle"
"708" 1 "1" "male" 42 26.29 "S" 0 "middle"
"709" 1 "1" "female" 22 151.55 "S" 0 "middle"
"711" 1 "1" "female" 24 49.5 "C" 0 "middle"
"713" 1 "1" "male" 48 52 "S" 1 "Late"
"714" 0 "3" "male" 29 9.48 "S" 0 "middle"
"715" 0 "2" "male" 52 13 "S" 0 "Late"
"716" 0 "3" "male" 19 7.65 "S" 0 "Teen"
"717" 1 "1" "female" 38 227.52 "C" 0 "middle"
"718" 1 "2" "female" 27 10.5 "S" 0 "middle"
"720" 0 "3" "male" 33 7.78 "S" 0 "middle"
"721" 1 "2" "female" 6 33 "S" 1 "Child"
"722" 0 "3" "male" 17 7.05 "S" 1 "Teen"
"723" 0 "2" "male" 34 13 "S" 0 "middle"
"724" 0 "2" "male" 50 13 "S" 0 "Late"
"725" 1 "1" "male" 27 53.1 "S" 1 "middle"
"726" 0 "3" "male" 20 8.66 "S" 0 "middle"
"727" 1 "2" "female" 30 21 "S" 3 "middle"
"729" 0 "2" "male" 25 26 "S" 1 "middle"
"730" 0 "3" "female" 25 7.92 "S" 1 "middle"
"731" 1 "1" "female" 29 211.34 "S" 0 "middle"
"732" 0 "3" "male" 11 18.79 "C" 0 "Child"
"734" 0 "2" "male" 23 13 "S" 0 "middle"
"735" 0 "2" "male" 23 13 "S" 0 "middle"
"736" 0 "3" "male" 28.5 16.1 "S" 0 "middle"
"737" 0 "3" "female" 48 34.38 "S" 4 "Late"
"738" 1 "1" "male" 35 512.33 "C" 0 "middle"
"742" 0 "1" "male" 36 78.85 "S" 1 "middle"
"743" 1 "1" "female" 21 262.38 "C" 4 "middle"
"744" 0 "3" "male" 24 16.1 "S" 1 "middle"
"745" 1 "3" "male" 31 7.92 "S" 0 "middle"
"746" 0 "1" "male" 70 71 "S" 2 "Late"
"747" 0 "3" "male" 16 20.25 "S" 2 "Teen"
"748" 1 "2" "female" 30 13 "S" 0 "middle"
"749" 0 "1" "male" 19 53.1 "S" 1 "Teen"
"750" 0 "3" "male" 31 7.75 "Q" 0 "middle"
"751" 1 "2" "female" 4 23 "S" 2 "Child"
"752" 1 "3" "male" 6 12.47 "S" 1 "Child"
"753" 0 "3" "male" 33 9.5 "S" 0 "middle"
"754" 0 "3" "male" 23 7.9 "S" 0 "middle"
"755" 1 "2" "female" 48 65 "S" 3 "Late"
"756" 1 "2" "male" 0.67 14.5 "S" 2 "Child"
"757" 0 "3" "male" 28 7.8 "S" 0 "middle"
"758" 0 "2" "male" 18 11.5 "S" 0 "Teen"
"759" 0 "3" "male" 34 8.05 "S" 0 "middle"
"760" 1 "1" "female" 33 86.5 "S" 0 "middle"
"762" 0 "3" "male" 41 7.12 "S" 0 "middle"
"763" 1 "3" "male" 20 7.23 "C" 0 "middle"
"764" 1 "1" "female" 36 120 "S" 3 "middle"
"765" 0 "3" "male" 16 7.78 "S" 0 "Teen"
"766" 1 "1" "female" 51 77.96 "S" 1 "Late"
"768" 0 "3" "female" 30.5 7.75 "Q" 0 "middle"
"770" 0 "3" "male" 32 8.36 "S" 0 "middle"
"771" 0 "3" "male" 24 9.5 "S" 0 "middle"
"772" 0 "3" "male" 48 7.85 "S" 0 "Late"
"773" 0 "2" "female" 57 10.5 "S" 0 "Late"
"775" 1 "2" "female" 54 23 "S" 4 "Late"
"776" 0 "3" "male" 18 7.75 "S" 0 "Teen"
"778" 1 "3" "female" 5 12.47 "S" 0 "Child"
"780" 1 "1" "female" 43 211.34 "S" 1 "middle"
"781" 1 "3" "female" 13 7.23 "C" 0 "Teen"
"782" 1 "1" "female" 17 57 "S" 1 "Teen"
"783" 0 "1" "male" 29 30 "S" 0 "middle"
"785" 0 "3" "male" 25 7.05 "S" 0 "middle"
"786" 0 "3" "male" 25 7.25 "S" 0 "middle"
"787" 1 "3" "female" 18 7.5 "S" 0 "Teen"
"788" 0 "3" "male" 8 29.12 "Q" 5 "Child"
"789" 1 "3" "male" 1 20.58 "S" 3 "Child"
"790" 0 "1" "male" 46 79.2 "C" 0 "Late"
"792" 0 "2" "male" 16 26 "S" 0 "Teen"
"795" 0 "3" "male" 25 7.9 "S" 0 "middle"
"796" 0 "2" "male" 39 13 "S" 0 "middle"
"797" 1 "1" "female" 49 25.93 "S" 0 "Late"
"798" 1 "3" "female" 31 8.68 "S" 0 "middle"
"799" 0 "3" "male" 30 7.23 "C" 0 "middle"
"800" 0 "3" "female" 30 24.15 "S" 2 "middle"
"801" 0 "2" "male" 34 13 "S" 0 "middle"
"802" 1 "2" "female" 31 26.25 "S" 2 "middle"
"803" 1 "1" "male" 11 120 "S" 3 "Child"
"804" 1 "3" "male" 0.42 8.52 "C" 1 "Child"
"805" 1 "3" "male" 27 6.97 "S" 0 "middle"
"806" 0 "3" "male" 31 7.78 "S" 0 "middle"
"807" 0 "1" "male" 39 0 "S" 0 "middle"
"808" 0 "3" "female" 18 7.78 "S" 0 "Teen"
"809" 0 "2" "male" 39 13 "S" 0 "middle"
"810" 1 "1" "female" 33 53.1 "S" 1 "middle"
"811" 0 "3" "male" 26 7.89 "S" 0 "middle"
"812" 0 "3" "male" 39 24.15 "S" 0 "middle"
"813" 0 "2" "male" 35 10.5 "S" 0 "middle"
"814" 0 "3" "female" 6 31.27 "S" 6 "Child"
"815" 0 "3" "male" 30.5 8.05 "S" 0 "middle"
"817" 0 "3" "female" 23 7.92 "S" 0 "middle"
"818" 0 "2" "male" 31 37 "C" 2 "middle"
"819" 0 "3" "male" 43 6.45 "S" 0 "middle"
"820" 0 "3" "male" 10 27.9 "S" 5 "Child"
"821" 1 "1" "female" 52 93.5 "S" 2 "Late"
"822" 1 "3" "male" 27 8.66 "S" 0 "middle"
"823" 0 "1" "male" 38 0 "S" 0 "middle"
"824" 1 "3" "female" 27 12.47 "S" 1 "middle"
"825" 0 "3" "male" 2 39.69 "S" 5 "Child"
"828" 1 "2" "male" 1 37 "C" 2 "Child"
"831" 1 "3" "female" 15 14.45 "C" 1 "Teen"
"832" 1 "2" "male" 0.83 18.75 "S" 2 "Child"
"834" 0 "3" "male" 23 7.85 "S" 0 "middle"
"835" 0 "3" "male" 18 8.3 "S" 0 "Teen"
"836" 1 "1" "female" 39 83.16 "C" 2 "middle"
"837" 0 "3" "male" 21 8.66 "S" 0 "middle"
"839" 1 "3" "male" 32 56.5 "S" 0 "middle"
"841" 0 "3" "male" 20 7.92 "S" 0 "middle"
"842" 0 "2" "male" 16 10.5 "S" 0 "Teen"
"843" 1 "1" "female" 30 31 "C" 0 "middle"
"844" 0 "3" "male" 34.5 6.44 "C" 0 "middle"
"845" 0 "3" "male" 17 8.66 "S" 0 "Teen"
"846" 0 "3" "male" 42 7.55 "S" 0 "middle"
"848" 0 "3" "male" 35 7.9 "C" 0 "middle"
"849" 0 "2" "male" 28 33 "S" 1 "middle"
"851" 0 "3" "male" 4 31.27 "S" 6 "Child"
"852" 0 "3" "male" 74 7.78 "S" 0 "Late"
"853" 0 "3" "female" 9 15.25 "C" 2 "Child"
"854" 1 "1" "female" 16 39.4 "S" 1 "Teen"
"855" 0 "2" "female" 44 26 "S" 1 "middle"
"856" 1 "3" "female" 18 9.35 "S" 1 "Teen"
"857" 1 "1" "female" 45 164.87 "S" 2 "middle"
"858" 1 "1" "male" 51 26.55 "S" 0 "Late"
"859" 1 "3" "female" 24 19.26 "C" 3 "middle"
"861" 0 "3" "male" 41 14.11 "S" 2 "middle"
"862" 0 "2" "male" 21 11.5 "S" 1 "middle"
"863" 1 "1" "female" 48 25.93 "S" 0 "Late"
"865" 0 "2" "male" 24 13 "S" 0 "middle"
"866" 1 "2" "female" 42 13 "S" 0 "middle"
"867" 1 "2" "female" 27 13.86 "C" 1 "middle"
"868" 0 "1" "male" 31 50.5 "S" 0 "middle"
"870" 1 "3" "male" 4 11.13 "S" 2 "Child"
"871" 0 "3" "male" 26 7.9 "S" 0 "middle"
"872" 1 "1" "female" 47 52.55 "S" 2 "Late"
"873" 0 "1" "male" 33 5 "S" 0 "middle"
"874" 0 "3" "male" 47 9 "S" 0 "Late"
"875" 1 "2" "female" 28 24 "C" 1 "middle"
"876" 1 "3" "female" 15 7.22 "C" 0 "Teen"
"877" 0 "3" "male" 20 9.85 "S" 0 "middle"
"878" 0 "3" "male" 19 7.9 "S" 0 "Teen"
"880" 1 "1" "female" 56 83.16 "C" 1 "Late"
"881" 1 "2" "female" 25 26 "S" 1 "middle"
"882" 0 "3" "male" 33 7.9 "S" 0 "middle"
"883" 0 "3" "female" 22 10.52 "S" 0 "middle"
"884" 0 "2" "male" 28 10.5 "S" 0 "middle"
"885" 0 "3" "male" 25 7.05 "S" 0 "middle"
"886" 0 "3" "female" 39 29.12 "Q" 5 "middle"
"887" 0 "2" "male" 27 13 "S" 0 "middle"
"888" 1 "1" "female" 19 30 "S" 0 "Teen"
"890" 1 "1" "male" 26 30 "C" 0 "middle"
"891" 0 "3" "male" 32 7.75 "Q" 0 "middle"
